Game ID,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
1,8/29/2009,24,17,3,2,2,1,11,3,18,12,10,3,2,2,0,0
2,8/29/2009,35,29,1,0,0,0,8,2,16,17,7,8,1,4,0,0
3,8/30/2009,2,31,0,0,0,0,5,1,9,11,12,2,2,2,0,1
4,8/30/2009,3,11,1,0,0,0,4,1,11,18,6,3,2,6,0,0
5,8/30/2009,21,4,3,0,1,0,4,3,16,8,4,5,4,4,0,0
6,8/30/2009,22,34,2,0,0,0,3,3,14,13,6,6,3,1,0,2
7,8/30/2009,23,33,1,1,1,1,2,7,18,14,4,14,2,2,0,0
8,8/30/2009,25,12,1,4,1,3,3,6,14,10,4,5,2,3,0,0
9,8/30/2009,30,26,2,0,0,0,6,1,20,14,7,0,1,2,0,1
10,8/31/2009,5,28,3,0,2,0,9,5,10,12,9,7,0,2,0,0
11,9/12/2009,4,25,1,1,1,1,10,3,13,20,7,2,1,2,0,1
12,9/12/2009,11,24,0,3,0,1,3,6,17,17,4,6,2,2,0,0
13,9/12/2009,12,5,0,2,0,0,3,9,15,19,2,5,3,0,0,0
14,9/12/2009,26,35,4,1,2,1,8,2,24,20,5,2,3,3,0,0
15,9/13/2009,17,21,1,0,0,0,4,2,16,10,4,4,2,5,0,0
16,9/13/2009,28,2,1,0,1,0,4,0,20,20,2,3,3,4,0,0
17,9/13/2009,29,23,2,1,0,0,5,3,17,16,5,6,1,3,0,2
18,9/13/2009,31,30,2,4,1,3,9,6,10,15,2,3,1,2,0,0
19,9/13/2009,33,22,1,1,0,0,5,4,15,24,5,3,1,2,0,0
20,9/13/2009,34,3,0,1,0,1,4,5,14,17,7,3,4,3,1,0
21,9/19/2009,5,4,5,2,4,1,6,4,8,17,7,8,1,3,0,0
22,9/19/2009,17,11,2,3,1,2,4,6,11,16,4,5,1,3,0,0
23,9/19/2009,21,25,1,2,0,1,6,3,17,25,6,0,3,5,0,0
24,9/19/2009,22,29,4,0,1,0,9,2,19,15,3,5,1,2,0,2
25,9/19/2009,23,26,0,2,0,1,3,4,13,18,9,9,4,4,1,0
26,9/20/2009,2,12,1,0,0,0,3,11,19,13,4,12,4,3,0,0
27,9/20/2009,3,33,3,2,2,0,9,6,21,19,8,3,2,5,0,0
28,9/20/2009,24,34,5,0,1,0,13,3,13,11,7,7,0,1,0,0
29,9/20/2009,30,28,2,2,1,1,10,5,21,11,8,1,4,2,0,1
30,9/20/2009,35,31,1,2,1,1,5,4,14,18,11,2,0,2,0,0
31,9/22/2009,25,5,1,4,0,3,2,6,10,10,2,3,4,1,0,0
32,9/22/2009,26,22,2,0,2,0,6,4,24,21,4,5,1,1,0,0
33,9/23/2009,4,2,2,2,1,1,9,7,24,13,7,7,3,2,0,0
34,9/23/2009,11,21,2,1,0,1,5,9,14,13,11,7,2,4,0,0
35,9/23/2009,12,30,3,1,2,1,6,2,4,16,4,10,2,4,0,0
36,9/23/2009,29,3,1,0,0,0,8,3,24,21,8,2,3,6,0,0
37,9/23/2009,31,23,1,2,0,1,1,3,23,15,4,3,3,3,2,0
38,9/23/2009,33,24,0,2,0,1,4,6,23,20,4,5,2,3,1,0
39,9/23/2009,34,17,0,3,0,1,3,3,10,16,5,8,1,1,0,0
40,9/24/2009,28,35,1,1,1,0,5,5,12,19,5,8,2,2,0,0
41,9/26/2009,3,26,0,4,0,3,3,8,21,13,4,3,2,2,1,0
42,9/26/2009,21,5,0,2,0,1,0,6,16,17,3,1,3,3,1,0
43,9/26/2009,24,29,3,0,0,0,7,7,15,22,5,8,1,5,0,0
44,9/26/2009,30,4,2,2,2,1,7,3,15,10,13,5,2,1,0,0
45,9/27/2009,2,25,2,2,1,0,4,6,14,19,7,4,3,2,0,0
46,9/27/2009,11,34,0,0,0,0,3,1,12,10,10,2,1,1,0,0
47,9/27/2009,17,33,1,0,1,0,7,7,23,17,3,9,1,3,0,0
48,9/27/2009,22,31,3,0,1,0,8,0,17,19,9,5,0,0,0,0
49,9/27/2009,23,28,1,0,0,0,2,0,14,18,5,1,1,3,0,0
50,9/27/2009,35,12,3,0,2,0,10,4,15,8,5,3,2,2,0,0
51,10/3/2009,4,35,2,1,1,0,6,4,17,14,6,12,6,3,0,0
52,10/3/2009,5,2,1,0,1,0,7,0,18,14,10,3,3,3,0,0
53,10/3/2009,29,17,0,1,0,0,4,5,20,13,6,9,2,1,0,0
54,10/4/2009,12,23,2,1,0,0,7,2,16,19,5,5,2,2,0,0
55,10/4/2009,25,30,0,1,0,0,6,2,21,20,6,1,1,3,0,0
56,10/4/2009,26,24,2,1,1,0,10,3,20,9,14,6,4,3,0,0
57,10/4/2009,28,22,4,1,0,1,8,2,9,14,3,4,2,1,0,0
58,10/4/2009,31,3,2,2,0,1,4,3,15,9,14,5,3,4,2,1
59,10/4/2009,33,11,0,0,0,0,6,0,13,23,14,1,3,3,0,1
60,10/4/2009,34,21,1,1,0,0,3,4,14,22,4,8,3,2,0,1
61,10/17/2009,17,26,1,0,1,0,2,1,10,19,3,5,0,1,0,0
62,10/17/2009,24,31,4,2,3,1,6,8,11,16,6,12,2,2,0,0
63,10/17/2009,30,5,0,0,0,0,4,3,15,11,5,6,4,2,0,0
64,10/18/2009,3,28,1,2,0,0,2,3,16,21,5,3,4,3,0,0
65,10/18/2009,11,29,2,1,1,1,7,4,11,14,5,2,2,4,0,0
66,10/18/2009,21,2,1,2,0,2,5,7,23,18,6,3,4,3,0,0
67,10/18/2009,22,12,3,1,1,0,8,4,26,24,7,5,3,3,0,0
68,10/18/2009,23,4,3,0,3,0,6,5,19,18,8,7,1,3,0,0
69,10/18/2009,34,33,2,1,1,1,3,6,16,14,3,4,2,3,0,1
70,10/18/2009,35,25,2,2,2,0,4,3,11,13,6,7,2,3,1,0
71,10/24/2009,4,22,1,1,0,0,6,2,15,25,11,3,0,3,0,2
72,10/24/2009,26,11,0,0,0,0,8,1,13,19,11,0,2,5,0,1
73,10/24/2009,28,24,0,0,0,0,2,5,20,10,3,7,2,4,0,0
74,10/25/2009,2,30,0,3,0,0,2,7,24,18,4,6,3,4,1,0
75,10/25/2009,5,35,6,1,3,0,13,5,9,14,6,1,0,2,0,0
76,10/25/2009,12,3,2,0,0,0,10,4,17,15,13,2,2,2,0,2
77,10/25/2009,25,23,1,1,0,0,4,2,21,20,6,5,1,5,0,0
78,10/25/2009,29,34,1,0,0,0,4,1,12,11,10,3,1,1,0,0
79,10/25/2009,31,17,4,0,1,0,8,3,14,10,4,5,3,1,0,0
80,10/25/2009,33,21,2,1,1,1,6,2,14,10,3,6,3,3,0,0
81,10/31/2009,3,4,1,0,1,0,6,6,13,16,5,5,1,2,0,0
82,10/31/2009,23,5,1,1,0,0,3,7,15,10,4,7,1,3,0,0
83,10/31/2009,24,12,2,0,0,0,8,7,9,11,2,5,2,1,1,0
84,10/31/2009,34,26,0,2,0,1,2,7,23,18,5,9,4,3,0,0
85,11/1/2009,11,31,1,1,0,0,4,1,18,15,9,1,4,4,0,0
86,11/1/2009,17,28,1,1,1,0,4,5,14,10,10,3,2,3,0,0
87,11/1/2009,21,30,0,1,0,0,5,6,12,18,5,9,3,2,0,0
88,11/1/2009,22,25,1,0,1,0,6,3,17,19,4,1,1,1,0,0
89,11/1/2009,33,29,5,0,1,0,5,2,19,19,4,4,1,0,0,0
90,11/1/2009,35,2,2,1,2,1,6,4,26,29,8,1,5,5,0,0
91,11/7/2009,4,24,2,3,0,2,8,6,16,18,7,4,3,4,0,1
92,11/7/2009,5,22,4,2,3,1,10,5,18,22,2,4,1,2,0,0
93,11/7/2009,12,17,0,2,0,1,3,3,18,12,14,3,4,1,0,2
94,11/7/2009,29,21,2,2,2,1,4,7,21,13,4,4,4,5,0,0
95,11/8/2009,2,23,2,0,1,0,3,1,18,17,11,4,2,2,0,0
96,11/8/2009,25,3,0,2,0,1,5,5,23,18,7,6,4,2,0,0
97,11/8/2009,26,33,3,2,1,1,6,3,17,16,11,6,2,2,0,0
98,11/8/2009,28,11,1,0,1,0,3,2,15,17,5,5,3,3,0,0
99,11/8/2009,30,35,3,1,3,0,7,4,17,17,6,6,2,5,0,0
100,11/8/2009,31,34,0,0,0,0,3,2,8,16,12,3,0,3,0,1
101,11/21/2009,3,5,1,1,0,0,1,3,17,15,5,7,1,1,0,0
102,11/21/2009,17,4,2,1,1,1,11,5,13,25,9,3,3,3,0,1
103,11/21/2009,24,25,1,0,1,0,9,0,11,20,7,0,2,3,0,0
104,11/21/2009,29,26,1,2,0,1,1,3,9,15,6,4,4,3,0,0
105,11/22/2009,11,12,0,2,0,0,3,4,13,15,7,3,2,4,0,0
106,11/22/2009,21,35,1,1,0,0,4,1,22,22,6,4,5,3,1,1
107,11/22/2009,22,2,3,1,0,0,5,10,13,16,9,10,4,3,0,0
108,11/22/2009,23,30,1,3,0,2,2,3,18,19,4,5,3,2,2,0
109,11/22/2009,33,31,3,1,1,0,6,5,8,20,7,6,1,2,0,0
110,11/22/2009,34,28,0,0,0,0,3,2,10,11,12,1,2,2,0,0
111,11/28/2009,26,21,2,2,0,2,6,4,20,31,5,4,4,4,0,1
112,11/28/2009,28,33,1,0,0,0,5,2,17,13,8,0,1,4,0,1
113,11/28/2009,30,22,1,1,0,0,6,2,11,15,11,2,4,4,0,0
114,11/29/2009,2,3,1,4,0,2,5,7,28,13,6,3,3,4,0,0
115,11/29/2009,4,11,4,0,1,0,6,1,20,17,8,4,2,2,0,1
116,11/29/2009,5,24,1,0,0,0,4,2,17,25,6,6,0,4,1,1
117,11/29/2009,12,34,5,1,2,1,6,2,8,17,7,3,0,3,0,1
118,11/29/2009,25,17,0,1,0,0,3,6,18,12,5,3,3,3,0,0
119,11/29/2009,31,29,3,3,2,0,8,5,14,16,8,8,2,2,0,1
120,11/29/2009,35,23,0,1,0,1,2,4,21,18,6,7,6,2,0,0
121,12/2/2009,34,5,0,2,0,0,4,3,13,16,3,9,1,0,0,0
122,12/5/2009,17,5,1,3,1,1,1,9,9,13,1,9,1,2,0,0
123,12/5/2009,24,2,4,2,1,0,14,4,15,16,8,3,0,4,1,0
124,12/5/2009,26,31,1,1,1,1,4,2,16,22,4,4,4,4,0,1
125,12/5/2009,34,4,0,2,0,1,4,6,17,18,8,7,1,1,1,1
126,12/6/2009,3,30,1,2,0,0,4,3,18,18,2,5,2,4,1,0
127,12/6/2009,11,25,0,4,0,0,1,5,19,21,4,7,2,4,0,0
128,12/6/2009,21,23,1,1,0,0,2,3,23,18,6,5,2,2,0,0
129,12/6/2009,22,35,4,1,1,0,7,5,16,14,4,7,3,3,0,0
