Game ID,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
1,2009-08-29,Real Madrid,La Coruna,3,2,2,1,28,9,11,3,18,12,10,3,2,2,0,0
2,2009-08-29,Zaragoza,Tenerife,1,0,0,0,17,16,8,2,16,17,7,8,1,4,0,0
3,2009-08-30,Almeria,Valladolid,0,0,0,0,20,7,5,1,9,11,12,2,2,2,0,1
4,2009-08-30,Ath Bilbao,Espanol,1,0,0,0,14,8,4,1,11,18,6,3,2,6,0,0
5,2009-08-30,Malaga,Ath Madrid,3,0,1,0,8,16,4,3,16,8,4,5,4,4,0,0
6,2009-08-30,Mallorca,Xerez,2,0,0,0,10,7,3,3,14,13,6,6,3,1,0,2
7,2009-08-30,Osasuna,Villarreal,1,1,1,1,7,11,2,7,18,14,4,14,2,2,0,0
8,2009-08-30,Santander,Getafe,1,4,1,3,4,9,3,6,14,10,4,5,2,3,0,0
9,2009-08-30,Valencia,Sevilla,2,0,0,0,8,3,6,1,20,14,7,0,1,2,0,1
10,2009-08-31,Barcelona,Sp Gijon,3,0,2,0,20,9,9,5,10,12,9,7,0,2,0,0
11,2009-09-12,Ath Madrid,Santander,1,1,1,1,23,8,10,3,13,20,7,2,1,2,0,1
12,2009-09-12,Espanol,Real Madrid,0,3,0,1,12,17,3,6,17,17,4,6,2,2,0,0
13,2009-09-12,Getafe,Barcelona,0,2,0,0,19,14,3,9,15,19,2,5,3,0,0,0
14,2009-09-12,Sevilla,Zaragoza,4,1,2,1,19,10,8,2,24,20,5,2,3,3,0,0
15,2009-09-13,La Coruna,Malaga,1,0,0,0,15,11,4,2,16,10,4,4,2,5,0,0
16,2009-09-13,Sp Gijon,Almeria,1,0,1,0,16,7,4,0,20,20,2,3,3,4,0,0
17,2009-09-13,Tenerife,Osasuna,2,1,0,0,16,7,5,3,17,16,5,6,1,3,0,2
18,2009-09-13,Valladolid,Valencia,2,4,1,3,14,15,9,6,10,15,2,3,1,2,0,0
