Website ,Game ID,BbAvH,BbAvD,BbAvA,BbAv>2.5,BbAv<2.5
BetBrain,1,1.24,5.65,11.75,1.48,2.53
BetBrain,2,1.89,3.36,4.1,1.97,1.79
BetBrain,3,2.13,3.27,3.36,2.02,1.74
BetBrain,4,2.19,3.25,3.22,2.02,1.74
BetBrain,5,3.37,3.35,2.1,1.8,1.96
BetBrain,6,1.82,3.4,4.36,1.88,1.86
BetBrain,7,2.82,3.24,2.44,2.02,1.74
BetBrain,8,2.09,3.24,3.49,2.08,1.69
BetBrain,9,2.27,3.28,3.07,1.86,1.89
BetBrain,10,1.15,7.11,15.16,1.37,2.87
BetBrain,11,1.46,4.05,7.05,1.63,2.19
BetBrain,12,5.95,3.76,1.57,1.56,2.32
BetBrain,13,6.79,3.99,1.49,1.53,2.39
BetBrain,14,1.53,3.78,6.45,1.71,2.05
BetBrain,15,1.85,3.39,4.26,1.86,1.88
BetBrain,16,2.34,3.25,2.96,1.96,1.79
BetBrain,17,2.4,3.22,2.92,2.09,1.69
BetBrain,18,3.39,3.31,2.12,1.88,1.86
BetBrain,19,1.54,3.8,6.41,1.76,1.99
BetBrain,20,2.68,3.21,2.58,2.07,1.7
BetBrain,21,1.32,4.9,9.09,1.42,2.69
BetBrain,22,1.93,3.33,3.89,2.08,1.71
BetBrain,23,2.07,3.3,3.48,1.93,1.82
BetBrain,24,1.94,3.33,3.86,1.94,1.82
BetBrain,25,3.23,3.26,2.18,2.03,1.74
BetBrain,26,2.45,3.23,2.81,2.03,1.74
BetBrain,27,2.66,3.22,2.59,2.02,1.74
BetBrain,28,1.11,7.99,18.86,1.34,3.09
BetBrain,29,1.3,4.99,9.76,1.51,2.45
BetBrain,30,2.05,3.28,3.53,1.87,1.88
BetBrain,31,9.94,5.01,1.3,1.53,2.4
BetBrain,32,1.45,4.13,7.08,1.71,2.07
BetBrain,33,1.44,4.16,7.18,1.64,2.18
BetBrain,34,1.96,3.34,3.83,1.91,1.84
BetBrain,35,2.99,3.3,2.3,1.79,1.97
BetBrain,36,2.6,3.25,2.64,1.96,1.79
BetBrain,37,2.12,3.24,3.43,2.18,1.63
BetBrain,38,5.44,3.8,1.59,1.52,2.4
BetBrain,39,2.86,3.25,2.41,2.03,1.73
BetBrain,40,2.24,3.32,3.07,1.78,1.97
BetBrain,41,2.92,3.29,2.34,1.9,1.85
BetBrain,42,10.32,5.3,1.27,1.42,2.73
BetBrain,43,1.1,8.45,21.38,1.79,1.98
BetBrain,44,1.89,3.44,3.92,1.59,2.27
BetBrain,45,2.18,3.27,3.23,2.04,1.72
BetBrain,46,1.54,3.77,6.15,1.85,1.9
BetBrain,47,2.38,3.27,2.88,1.92,1.83
BetBrain,48,1.85,3.41,4.17,1.87,1.88
BetBrain,49,1.92,3.37,3.87,1.9,1.85
BetBrain,50,2.28,3.26,3.05,1.9,1.85
BetBrain,51,1.62,3.67,5.47,1.54,2.34
BetBrain,52,1.1,8.7,20.98,1.29,3.33
BetBrain,53,2.56,3.21,2.69,1.98,1.78
BetBrain,54,2.01,3.31,3.64,1.97,1.78
BetBrain,55,3.29,3.34,2.13,1.66,2.14
BetBrain,56,3.6,3.47,1.97,1.52,2.41
BetBrain,57,2.43,3.28,2.79,1.77,1.99
BetBrain,58,2.4,3.25,2.86,1.89,1.87
BetBrain,59,1.72,3.54,4.8,1.85,1.91
BetBrain,60,2.43,3.24,2.82,2.03,1.72
BetBrain,61,3.45,3.29,2.09,1.89,1.85
BetBrain,62,1.15,7.33,15.38,1.34,3.03
BetBrain,63,4.71,3.62,1.71,1.46,2.55
BetBrain,64,1.83,3.42,4.2,1.78,1.97
BetBrain,65,1.85,3.38,4.17,1.94,1.81
BetBrain,66,2.08,3.27,3.43,2.03,1.73
BetBrain,67,2.14,3.29,3.26,1.82,1.92
BetBrain,68,2.71,3.27,2.49,1.71,2.05
BetBrain,69,3.73,3.36,1.96,1.96,1.79
BetBrain,70,2,3.34,3.61,1.88,1.85
BetBrain,71,1.78,3.51,4.31,1.55,2.33
BetBrain,72,1.46,4.08,6.81,1.72,2.05
BetBrain,73,6.16,4.09,1.49,1.44,2.61
BetBrain,74,3.19,3.29,2.24,1.8,1.94
BetBrain,75,1.13,7.73,16.49,1.36,2.94
BetBrain,76,1.97,3.35,3.7,1.86,1.88
BetBrain,77,2.26,3.24,3.07,2,1.75
BetBrain,78,1.85,3.34,4.2,2.01,1.74
BetBrain,79,2.56,3.21,2.66,1.9,1.85
BetBrain,80,1.64,3.63,5.19,1.82,1.93
BetBrain,81,2.51,3.29,2.68,1.71,2.06
BetBrain,82,6.79,4.29,1.44,1.58,2.27
BetBrain,83,1.43,4.26,7.02,1.45,2.58
BetBrain,84,5.64,3.78,1.58,1.9,1.85
BetBrain,85,1.88,3.4,4.01,1.87,1.87
BetBrain,86,1.82,3.42,4.27,1.86,1.88
BetBrain,87,3.83,3.44,1.91,1.82,1.94
BetBrain,88,1.82,3.46,4.24,1.77,1.99
BetBrain,89,1.75,3.47,4.66,1.84,1.91
BetBrain,90,1.98,3.35,3.69,1.87,1.87
BetBrain,91,3.67,3.44,1.96,1.56,2.31
BetBrain,92,1.17,6.71,14.3,1.4,2.76
BetBrain,93,2.08,3.28,3.44,1.96,1.79
BetBrain,94,2.01,3.28,3.64,1.95,1.8
BetBrain,95,2.47,3.2,2.8,2.06,1.7
BetBrain,96,2.23,3.27,3.12,1.95,1.79
BetBrain,97,1.61,3.74,5.29,1.79,1.95
BetBrain,98,2.26,3.27,3.04,1.96,1.78
BetBrain,99,1.5,3.98,6.4,1.54,2.33
BetBrain,100,1.61,3.65,5.48,1.86,1.88
BetBrain,101,6.24,4.01,1.5,1.62,2.19
BetBrain,102,2.44,3.28,2.76,1.83,1.91
BetBrain,103,1.21,5.99,12.02,1.43,2.67
BetBrain,104,4.76,3.49,1.72,1.93,1.81
BetBrain,105,2.1,3.26,3.4,1.97,1.79
BetBrain,106,2.31,3.27,2.94,1.82,1.91
BetBrain,107,1.78,3.44,4.49,1.83,1.92
BetBrain,108,3.29,3.3,2.13,1.91,1.84
BetBrain,109,1.64,3.64,5.24,1.72,2.03
BetBrain,110,2.77,3.24,2.46,2.08,1.69
BetBrain,111,1.27,5.19,10.89,1.6,2.21
BetBrain,112,2.88,3.26,2.37,1.92,1.83
